,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
15,"frozenset({""'Ecchi'""})","frozenset({""'Comedy'""})",0.07914163090128755,0.29952789699570814,0.046137339055793994,0.5829718004338396,1.9463021851423503,0.022432212787120785,1.6796756280102918
16,"frozenset({""'Comedy'""})","frozenset({""'Fantasy'""})",0.29952789699570814,0.21302575107296137,0.05684549356223176,0.1897836366241582,0.8908952822288478,-0.006961661662583579,0.9713136940952873
17,"frozenset({""'Fantasy'""})","frozenset({""'Comedy'""})",0.21302575107296137,0.29952789699570814,0.05684549356223176,0.26684799032940465,0.8908952822288477,-0.006961661662583579,0.9554254694316577
18,"frozenset({""'Comedy'""})","frozenset({""'Romance'""})",0.29952789699570814,0.34581545064377683,0.11658798283261802,0.38923914600945697,1.1255689856680542,0.01300660815266444,1.0710977055617787
19,"frozenset({""'Romance'""})","frozenset({""'Comedy'""})",0.34581545064377683,0.29952789699570814,0.11658798283261802,0.33713931120074464,1.1255689856680542,0.01300660815266444,1.0567410541016815
20,"frozenset({""'Comedy'""})","frozenset({""'Slice of Life'""})",0.29952789699570814,0.11929184549356223,0.05568669527896996,0.18591488751970198,1.5584878140705365,0.019955459669546323,1.0818379319370641
21,"frozenset({""'Slice of Life'""})","frozenset({""'Comedy'""})",0.11929184549356223,0.29952789699570814,0.05568669527896996,0.466810577441986,1.5584878140705365,0.019955459669546323,1.3137396830637174
22,"frozenset({""'Comedy'""})","frozenset({""'Supernatural'""})",0.29952789699570814,0.13186695278969957,0.03976394849785408,0.13275540908439606,1.0067375204772753,0.00026611744552303834,1.0010244587328685
23,"frozenset({""'Supernatural'""})","frozenset({""'Comedy'""})",0.13186695278969957,0.29952789699570814,0.03976394849785408,0.3015459723352319,1.0067375204772753,0.00026611744552303834,1.0028893459835446
24,"frozenset({""'Drama'""})","frozenset({""'Romance'""})",0.17993562231759658,0.34581545064377683,0.07111587982832618,0.3952295766249254,1.1428916084841156,0.00889136150969809,1.081707246371905
25,"frozenset({""'Romance'""})","frozenset({""'Drama'""})",0.34581545064377683,0.17993562231759658,0.07111587982832618,0.2056469128141483,1.1428916084841156,0.00889136150969809,1.0323675842787228
26,"frozenset({""'Ecchi'""})","frozenset({""'Romance'""})",0.07914163090128755,0.34581545064377683,0.0344206008583691,0.43492407809110634,1.2576768252587995,0.007052202103556893,1.157693194830015
27,"frozenset({""'Fantasy'""})","frozenset({""'Romance'""})",0.21302575107296137,0.34581545064377683,0.05399141630901288,0.25345018636043115,0.7329059065712746,-0.019676179797012285,0.8762771584751352
28,"frozenset({""'Romance'""})","frozenset({""'Fantasy'""})",0.34581545064377683,0.21302575107296137,0.05399141630901288,0.15612783121315546,0.7329059065712747,-0.019676179797012285,0.9325751909301586
29,"frozenset({""'Supernatural'""})","frozenset({""'Fantasy'""})",0.13186695278969957,0.21302575107296137,0.03094420600858369,0.23466232709519935,1.1015678898596042,0.002853149348855201,1.0282706271861901
30,"frozenset({""'Fantasy'""})","frozenset({""'Supernatural'""})",0.21302575107296137,0.13186695278969957,0.03094420600858369,0.1452604009267654,1.1015678898596042,0.002853149348855201,1.0156696240019625
31,"frozenset({""'Slice of Life'""})","frozenset({""'Romance'""})",0.11929184549356223,0.34581545064377683,0.03298283261802575,0.27648857708220903,0.7995263848607471,-0.008270130689458269,0.9041799875363611
32,"frozenset({""'Supernatural'""})","frozenset({""'Romance'""})",0.13186695278969957,0.34581545064377683,0.03611587982832618,0.2738812042310822,0.791986603609583,-0.009485749875665417,0.9009332263097246
33,"frozenset({""'Romance'""})","frozenset({""'Supernatural'""})",0.34581545064377683,0.13186695278969957,0.03611587982832618,0.10443686006825939,0.7919866036095831,-0.009485749875665417,0.9693711235999162
34,"frozenset({""'Adventure'"", ""'Fantasy'""})","frozenset({""'Action'""})",0.06051502145922747,0.19542918454935623,0.0357725321888412,0.5911347517730496,3.024802836567927,0.023946130892077585,1.967814136661592
35,"frozenset({""'Adventure'"", ""'Action'""})","frozenset({""'Fantasy'""})",0.053390557939914166,0.21302575107296137,0.0357725321888412,0.670016077170418,3.1452351361077344,0.024398968483486525,2.384886639866592
36,"frozenset({""'Fantasy'"", ""'Action'""})","frozenset({""'Adventure'""})",0.08100858369098712,0.09251072961373391,0.0357725321888412,0.44158940397350993,4.773385809595352,0.028278369006612757,1.6251290302220847
37,"frozenset({""'Adventure'""})","frozenset({""'Fantasy'"", ""'Action'""})",0.09251072961373391,0.08100858369098712,0.0357725321888412,0.3866852238459754,4.773385809595352,0.028278369006612757,1.498400906092343
38,"frozenset({""'Fantasy'""})","frozenset({""'Adventure'"", ""'Action'""})",0.21302575107296137,0.053390557939914166,0.0357725321888412,0.1679258587690138,3.1452351361077344,0.024398968483486525,1.1376503548826236
39,"frozenset({""'Action'""})","frozenset({""'Adventure'"", ""'Fantasy'""})",0.19542918454935623,0.06051502145922747,0.0357725321888412,0.18304600856484024,3.024802836567927,0.023946130892077585,1.1499851746734966
